Item ID: 1
Item Name: IPhone
Item Type: Mobile
Item Price: 50
Item Quantity: 1000

Item ID: 2
Item Name: Samsung
Item Type: Mobile
Item Price: 40
Item Quantity: 500

Item ID: 3
Item Name: Chair
Item Type: Furniture
Item Price: 60
Item Quantity: 100

Item ID: 4
Item Name: Table
Item Type: Furniture
Item Price: 80
Item Quantity: 200

Item ID: 5
Item Name: Fan
Item Type: Electronic
Item Price: 110
Item Quantity: 70

Item ID: 6
Item Name: AC
Item Type: Electronic
Item Price: 20
Item Quantity: 300

Item ID: 7
Item Name: Jeans
Item Type: Clothing
Item Price: 5
Item Quantity: 100

Item ID: 8
Item Name: Shirt
Item Type: Clothing
Item Price: 4
Item Quantity: 50

Item ID: 9
Item Name: Shoes
Item Type: Clothig
Item Price: 8
Item Quantity: 60

Item ID: 10
Item Name: Belts
Item Type: Clothing
Item Price: 7
Item Quantity: 100

